date of data collection: Dec 2021

,a,b,c,d,e,f
0,23.63308679107153,1,cloudy,1,1,-2
1,38.74223670981001,1,sunny,0,1,0
2,,1,sunny,1,2,2
3,22.249957271728213,1,sunny,0,1,-5
4,27.0078751539601,1,cloudy,0,0,-2
5,37.73317498561269,1,sunny,1,1,0
6,23.452792869514255,1,sunny,2,,3
7,29.57628374712066,1,cloudy,0,0,2
8,20.62183126141736,1,cloudy,0,0,0
9,26.42065019826457,1,cloudy,1,2,44
10,32.254067843438364,1,sunnny,0,0,4
11,23.86161259958961,1,sunny,0,0,-4
12,14.591819473735955,1,sunny,0,1,-2
13,23.84209834946771,1,sunny,1,2,-4
14,32.047476736122704,1,cloudy,0,0,-2
15,27.30936038528163,1,sunny,1,1,5
16,26.571393924956933,1,cloudy,2,2,4
17,16.433308593938946,1,sunny,1,1,-3
18,27.676672149760744,1,cloudy,1,2,2
19,28.58816104193241,1,sunny,1,1,0
20,27.44423940891607,1,sunny,1,2,-1
21,35.319499035155545,1,sunny,2,2,3
22,13.025703803698025,1,sunny,0,0,-2
23,30.21948191396834,,cloudy,0,0,-3
24,25.256663535400648,1,sunny,1,1,3
25,25.72539087262905,1,sunny,0,1,2
26,19.23278823910029,1,cloudy,0,1,2
27,32.805082022235,1,cloudy,0,1,-1
28,36.94155374836673,1,sunny,1,1,-3
29,29.203844876297055,1,cloudy,0,0,-3
30,30.735281085693703,1,sunny,1,2,-4
31,36.745878253094,1,cloudy,1,2,1
32,27.070172779763467,1,sunny,0,1,4
33,47.56320081610499,1,sunny,0,0,5
34,33.91378430972328,1,sunny,0,0,-1
35,32.05219456053701,1,sunny,1,2,-1
36,35.666188231486615,1,sunny,2,2,3
37,36.83849501734101,1,sunny,1,2,4
38,32.206967901847285,1,cloudy,0,1,-2
39,30.15384891420467,1,sunny,0,1,-4
40,33.23862600690395,1,cloudy,2,2,1
41,27.160300379650277,1,sunny,0,1,-2
42,26.913109261197405,1,sunny,1,2,1
43,30.089190543416983,1,cloudy,1,1,0
44,21.051472236646894,1,cloudy,0,0,-2
45,26.959892333150265,1,cloudy,1,1,3
46,34.350772130098335,1,cloudy,0,1,4
47,24.29369114976374,1,cloudy,0,0,-4
48,28.78075967878812,1,cloudy,1,2,-4
49,31.681234813345192,1,cloudi,1,1,-4
50,28.54215965863949,1,cloudy,1,2,3
51,41.47381281632671,1,sunny,0,0,4
52,31.0162705643738,1,sunny,1,2,2
53,20.55177953018864,1,sunny,1,2,2
54,28.596610165905194,1,cloudy,0,0,-3
55,25.282392595196427,1,cloudy,0,1,5
56,24.236749096086328,1,cloudy,1,2,3
57,26.275045837039325,1,sunny,0,0,-5
58,36.841375093330285,1,cloudy,1,1,-2
59,32.64756747336262,1,cloudy,1,2,2
60,30.301150439054744,1,sunny,0,1,3
61,42.39025568130717,1,cloudy,1,2,4
62,29.314897357432418,1,sunny,1,1,-3
63,22.86472376924478,1,sunny,0,0,-1
64,27.265634233955236,1,sunny,0,1,-5
65,33.68294325696365,1,cloudy,0,1,4
66,15.503158868671209,1,sunny,1,2,-3
67,22.334317658655007,1,sunny,0,1,1
68,23.469551647262062,1,sunny,1,2,0
69,17.821178742982056,1,sunny,0,0,-5
70,35.79592325174334,1,sunny,0,0,2
71,31.50979394970241,1,cloudy,0,0,1
72,37.794819081132104,1,cloudy,0,0,5
73,23.42748728564818,1,sunny,0,1,-1
74,23.17846677045189,1,sunny,0,0,3
75,16.728703809090852,1,cloudy,1,2,4
76,27.76104593944061,1,sunny,0,0,-3
77,32.7575191235899,1,cloudy,0,0,1
78,35.86920719800759,1,cloudy,1,2,-5
79,25.145351216761735,1,cloudy,1,2,-2
80,27.338571884978826,1,sunny,0,0,1
81,33.473421315216235,1,cloudy,1,2,-2
82,30.47693472013372,1,cloudy,0,1,1
83,22.14987356468403,1,sunny,0,0,2
84,22.546286929226337,1,cloudy,1,1,4
85,24.61068191810533,1,cloudy,1,1,1
86,38.3530439264466,1,sunny,1,2,-1
87,28.045804928567048,1,sunny,0,0,-1
88,40.694875239373495,1,cloudy,1,1,1
89,28.397022639686554,1,cloudy,0,0,2
90,38.32907814988236,1,cloudy,0,0,3
91,31.239814597160148,1,sunny,0,0,5
92,27.182796771543675,1,sunny,1,2,-3
93,28.677227485363357,1,sunny,1,2,-1
94,18.214099124356977,1,cloudy,0,0,-4
95,39.63828973723896,1,sunny,1,1,-3
96,24.266664529526977,1,sunny,1,2,0
97,32.19864954741579,1,sunny,0,1,4
98,25.55258416080012,1,cloudy,0,1,4
99,20.999484222635814,1,sunny,0,0,-5
100,22.876371947672325,1,sunny,0,1,3
101,17.949527124582133,1,cloudy,1,2,-5
102,19.081878746552945,1,sunny,0,0,2
103,28.078735642849182,1,cloudy,0,1,-1
104,35.51348571753253,1,cloudy,1,1,5
105,10.908221388902753,1,sunny,0,0,-5
106,,1,,1,2,-4
107,24.257974579028186,1,cloudy,1,2,4
108,31.234305502226857,1,sunny,1,2,0
109,29.414151915006777,1,sunny,0,0,-4
110,30.71350758407464,1,cloudy,0,0,5
111,29.463699947821222,1,sunny,1,1,3
112,19.99495891456667,1,cloudy,0,1,-3
113,22.631178683238023,1,cloudy,0,0,1
114,27.641361379607535,1,sunny,1,1,-3
115,32.674710101055226,1,sunny,1,2,2
116,27.90491407634399,1,sunny,0,1,0
117,21.99500910092083,1,cloudy,1,1,4
118,25.769843319266656,1,cloudy,1,2,-4
119,25.39941927768021,1,cloudy,1,1,-1
120,15.495796814298668,1,cloudy,0,0,0
121,17.775551073262573,1,cloudy,0,1,-4
122,22.851102060998066,1,cloudy,0,0,-4
123,34.37484919387496,1,sunny,0,0,1
124,34.49384691018728,1,cloudy,1,2,-5
125,27.043627036166114,1,sunny,1,1,1
126,27.559256373314916,1,sunny,1,2,-2
127,22.998122667612265,1,cloudy,0,1,-2
128,37.341781166872124,1,sunny,1,2,0
129,34.82319598433496,1,sunny,0,1,-4
130,26.69338754012567,1,cloudy,0,0,-2
131,33.56451251853582,1,sunny,1,1,-5
132,31.728827746606434,1,Sunny,1,1,4
133,15.364393585593817,1,cloudy,0,1,5
134,29.867690238496582,1,cloudy,0,1,-1
135,28.883832302769807,1,sunny,2,2,-1
136,30.047749868360995,1,sunny,0,0,3
137,30.61610923622519,1,sunny,1,2,-5
138,51.57970230548085,1,cloudy,0,0,5
139,18.957556512530083,1,cloudy,1,1,0
140,23.082024861255405,1,sunny,1,2,2
141,32.34065994512959,1,cloudy,0,0,2
142,29.727839772539014,1,sunny,0,0,-4
143,21.00486449890351,1,cloudy,0,0,1
144,25.747439323563377,1,cloudy,0,1,5
145,26.651644687042864,1,cloudy,0,0,2
146,19.50177229550455,1,cloudy,0,1,1
147,21.996987973410686,1,cloudy,1,1,-5
148,33.53145698773392,1,cloudy,1,2,0
149,21.438259236178467,1,cloudy,1,2,4
150,27.341536354072648,1,cloudy,0,0,-1
151,26.78709752383402,1,sunny,1,1,3
152,22.608810569517225,1,cloudy,0,1,-2
153,22.06508392257912,1,sunny,0,1,0
154,28.368984508607056,1,sunny,0,1,-3
155,24.171907063437427,1,sunny,1,2,-4
156,34.359137604776926,1,sunny,1,1,0
157,22.084649907541667,1,sunny,0,1,-4
158,28.247878598651106,1,cloudy,0,1,1
159,36.01436927948165,1,sunny,1,1,0
160,17.507675615499508,1,cloudy,0,1,4
161,28.6723972518485,1,cloudy,0,0,4
162,28.53473897847508,1,cloudy,1,2,-3
163,34.10613412077673,1,cloudy,0,0,-3
164,27.48485894476678,1,cloudy,0,0,-5
165,18.787705467033174,1,cloudy,1,2,-1
166,25.58415752722411,1,cloudy,1,1,-2
167,18.402078686789288,1,cloudy,1,1,1
168,24.41368812580478,1,sunny,1,2,3
169,23.420608351600585,1,sunny,1,2,-5
170,24.108071972436658,1,cloudy,0,1,-4
171,21.24192524572285,1,sunny,0,1,4
172,27.22385693121732,1,cloudy,1,1,4
173,30.840626990537196,1,sunny,1,2,4
174,19.331915196483962,1,cloudy,0,0,3
175,15.617366463558028,1,cloudy,1,1,-3
176,22.531590923700094,1,sunny,0,0,-4
177,39.2715755247546,1,sunny,0,0,2
178,22.71900908269476,1,sunny,1,2,-3
179,38.925623814985975,1,sunny,0,0,-2
180,14.433356612125628,1,sunny,1,2,-4
181,28.569534502136488,1,cloudy,1,2,2
182,27.054895576324512,1,sunny,0,0,0
183,22.82981043275344,1,sunnny,1,1,-4
184,21.808274124835677,1,cloudy,0,0,1
185,25.834153246494157,1,sunny,0,0,4
186,28.445259373911046,1,sunny,1,2,-3
187,22.13816427286308,1,cloudy,0,1,-3
188,29.58700492299713,1,cloudy,1,2,0
189,21.619107044373326,1,cloudy,2,2,2
190,22.183132605361564,1,cloudy,0,1,0
191,29.220898718002623,1,sunny,0,0,0
192,30.004749131534172,1,sunny,1,2,-5
193,32.029811421850965,1,cloudy,0,0,-5
194,34.84878369471242,1,cloudy,1,2,-5
195,25.116282827182367,1,cloudy,0,0,0
196,30.764038898837217,1,cloudy,0,0,0
197,21.17230670377643,1,sunny,1,1,0
198,20.75717689446961,1,sunny,1,2,-2
199,34.38064472073263,1,cloudy,1,1,-4
200,22.39550558198733,1,cloudy,0,0,3
201,20.69514151975358,1,sunny,0,0,2
202,31.350499312831204,1,cloudy,0,0,-5
203,18.061378667633463,1,sunny,0,1,-1
204,30.183249617931434,1,sunny,0,0,5
205,29.027535098159717,1,cloudy,1,2,1
206,35.60927286152525,1,sunny,1,1,2
207,34.476089208599575,1,sunny,0,0,-2
208,23.912364700307293,1,cloudy,1,1,1
209,35.850373882062634,1,sunny,0,1,5
210,23.688769695498916,1,cloudy,1,2,-3
211,22.25869885966484,1,cloudy,0,0,-4
212,25.49501100549902,1,sunny,0,0,4
213,46.948186606077996,1,cloudy,1,2,3
214,25.28929341142062,1,cloudy,1,2,-3
215,40.55940468048761,1,sunny,0,0,3
216,25.675107323215524,1,cloudy,0,0,-1
217,19.428047802405665,1,sunny,1,2,2
218,32.63708109202047,1,sunny,1,2,5
219,28.525615225608764,1,cloudy,1,1,0
220,38.426124254550274,1,sunny,1,2,0
221,33.48200122036155,1,sunny,1,2,1
222,29.6185889012394,1,cloudy,0,0,-2
223,28.661556905763092,1,sunny,1,2,-2
224,40.4541841917659,1,sunny,0,0,-1
225,35.52010706192674,1,sunny,1,1,-4
226,38.89869187727183,1,sunny,0,0,-5
227,34.71477746190493,1,cloudy,1,1,-1
228,32.640402131518556,1,sunny,1,2,4
229,31.036549982310685,1,sunny,0,1,3
230,23.14640781154709,1,cloudy,1,2,-4
231,32.99327423785007,1,sunny,1,1,1
232,33.81037400177472,1,sunny,1,2,-3
233,35.600047913825584,1,sunny,0,0,5
234,15.021167060657861,1,sunny,1,2,-4
235,35.98348066128591,1,sunny,0,0,-1
236,13.8116762545875,1,sunny,1,2,2
237,25.83142935082946,1,sunny,1,1,-1
238,22.919054575233652,1,cloudy,1,1,3
239,22.028548460985355,1,cloudy,2,2,-1
