location;time;heaviness_of_trip;heat_preference;sex;weather;temperature;windspeed;headwear;sunglasses;neck;shirt;singlet;upper_body_second_layer;upper_body_third_layer;upper_body_outer_layer;hands;raintrousers;socks;shoes
Kathmandu;2022-01-26 20:05:41.091290;normal;;m;Clouds;5.44;0.67;2;0;2;1;0;3;1;3;3;0;2;2
Rom;2022-01-26 19:05:41.094283;normal;;m;Clouds;9.43;2.06;1;0;1;1;0;2;1;3;2;0;2;2
Rio de Janeiro;2022-01-26 19:05:41.099630;hard;;m;Clear;33.28;3.24;1;0;1;1;0;1;1;1;1;0;2;2
Rio de Janeiro;2022-01-26 23:05:41.103260;normal;;m;Clear;29.24;1.89;1;0;1;1;0;1;1;1;1;0;2;2
Barcelona;2022-01-26 19:05:41.108245;easy;;m;Clear;11.56;5.66;1;0;1;1;0;3;1;3;2;0;2;2
Singapore;2022-01-26 20:05:41.116771;easy;;m;Clouds;25.24;4.66;1;0;1;1;0;1;1;1;1;0;2;2
Melbourne;2022-01-26 23:05:41.121746;easy;;m;Rain;18.81;5.51;1;0;1;1;0;1;1;4;1;0;2;2
Melbourne;2022-01-26 20:05:41.124728;easy;;m;Rain;18.53;4.99;1;0;1;1;0;2;1;4;1;0;2;2
Singapore;2022-01-26 19:05:41.126723;normal;;m;Clouds;25.57;2.57;1;0;1;1;0;1;1;1;1;0;2;2
Kathmandu;2022-01-26 19:05:41.129719;normal;;m;Clouds;6.12;1.54;2;0;2;1;0;3;1;3;3;0;2;2
Moskau;2022-01-26 20:05:41.134702;normal;;m;Clouds;-6.88;1.31;3;0;2;1;0;3;1;5;3;0;2;2
Kathmandu;2022-01-26 22:05:41.137695;easy;;m;Clouds;5.44;0.67;2;0;2;1;0;3;1;3;3;0;2;2
Rom;2022-01-26 22:05:41.157161;easy;;m;Clouds;8.42;1.82;2;0;1;1;0;2;3;1;2;0;2;2
Kathmandu;2022-01-26 19:05:41.165657;hard;;m;Clouds;6.12;1.54;2;0;2;1;0;3;1;3;3;0;2;2
Rom;2022-01-26 21:05:41.175625;hard;;m;Clouds;8.42;1.82;2;0;1;1;0;2;3;1;2;0;2;2
